time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,aveEDA,d005_EDA,frequence
2019-07-26-21-03,100.0,20,1.0,0,0.110999473,2.0,0.09090909090909091
2019-07-26-21-04,115.0,23,1.0,0,0.12445146300000001,3.0,0.09090909090909091
2019-07-26-21-05,61.0,12,1.0,0,0.228346973,4.0,0.09090909090909091
2019-07-26-21-06,64.0,13,1.0,0,0.46707353,9.0,0.09090909090909091
2019-07-26-21-07,58.0,12,1.0,0,0.741161159,14.0,0.09090909090909091
2019-07-26-21-08,137.0,27,1.0,0,0.110999473,2.0,0.09090909090909091
2019-07-26-21-09,137.0,27,1.0,0,0.151414424,3.0,0.09090909090909091
2019-07-26-21-10,118.0,24,1.0,0,0.228346973,4.0,0.09090909090909091
2019-07-26-21-11,97.0,19,1.0,0,0.46707353,9.0,0.09090909090909091
2019-07-26-21-12,78.0,16,1.0,0,0.741161159,14.0,0.09090909090909091
2019-07-26-21-13,103.0,21,1.0,0,0.741161159,14.0,0.09090909090909091
